"yr","mon","monthly_EXO_fdom","monthly_EXO_spCond","monthly_EXO_do_mgL","monthly_EXO_sal_psu","monthly_EXO_depth","monthly_EXO_pH","monthly_EXO_chla_ugL","monthly_EXO_Turbidity_NTU","day","Date","monthly_EXOchla_ugL_ZT","monthly_EXO_do_mgL_ZT","monthly_EXO_spCond_ZT","monthly_EXO_sal_psu_ZT","monthly_EXO_pH_ZT","monthly_EXO_Turbidity_NTU_ZT","Canal"
2021,4,23.2504801670146,25280.210908142,5.29998956158664,15.3724425887265,0.215017745302714,7.63555323590814,7.51792275574113,0,1,2021-04-01,0.158808921675572,0.370718984099036,1.30132825312484,1.32364736151628,1.20315671186386,0.307597743175378,"Coral_Gables"
2021,5,23.7760922248401,22375.8248384926,6.17405450874832,13.4533849259758,0.168823687752355,7.65911507402423,9.84197510094213,0,1,2021-05-01,0.846278747428117,1.30226911046571,0.821444043215286,0.821910688129286,1.36969944815622,0.307597743175378,"Coral_Gables"
2021,6,27.2299721448468,21105.5774129526,5.16608983286908,12.658635097493,0.464493036211699,7.44973885793872,7.75264275766017,-2.65995473537604,1,2021-06-01,0.228240627528979,0.228012987694136,0.611564341420518,0.614123739952728,-0.11023975563694,-0.776929541338253,"Coral_Gables"
2021,7,43.2201152542373,7385.70986101695,4.47396949152542,4.14066440677966,0.499760338983051,7.2978813559322,3.89520677966102,1.75348135593219,1,2021-07-01,-0.912814067354549,-0.509626467512584,-1.65533394356516,-1.61289546917333,-1.18361797791677,1.02253410961154,"Coral_Gables"
2021,8,26.1725016812374,15422.5197108272,6.56198386012105,8.98068594485541,0.497168796234028,7.46620040349697,7.78792535305986,-3.13256893073302,1,2021-08-01,0.238677449127085,1.71571165551467,-0.327432606593405,-0.347474240425732,0.00611580318517953,-0.969625673755948,"Coral_Gables"
2021,9,41.029690219283,10393.0356804734,3.83580229725026,5.92921684650191,0.467072050121824,7.33489035851027,3.89306648103028,-3.31176122520014,1,2021-09-01,-0.91344718163434,-1.18976440508867,-1.15844126462985,-1.14527932156985,-0.922026308946155,-1.04268666608773,"Coral_Gables"
2021,10,28.1184338160997,16776.0413396163,4.26374957926624,9.86460787613598,0.44439784584315,7.43361494446314,4.95607876135981,-0.830134634803094,1,2021-10-01,-0.599001223203161,-0.733672044978821,-0.103793723245717,-0.116373290233948,-0.224208821069504,-0.0308680394524742,"Coral_Gables"
2021,11,34.1845824634656,14828.530653913,4.06052173913043,8.43443234782609,0.496976347826087,7.60897043478261,3.4272452173913,-2.51836173913044,1,2021-11-01,-1.05124014641286,-0.950265698316023,-0.425575884531166,-0.49029197223183,1.01526082632427,-0.719198683860828,"Coral_Gables"
2021,12,23.1040094180962,23070.6050588631,4.73316515304406,13.9533736966028,0.552644803229062,7.3020517995291,13.7574335687857,3.90946182307434,1,2021-12-01,2.00449687284516,-0.233384121877461,0.93624078480465,0.952632504036399,-1.15413992596016,1.90157900853293,"Coral_Gables"
2022,1,30.1477923387097,22839.407234543,4.90815188172043,13.8850470430108,0.546511088709677,7.37159946236559,4.60374663978495,3.13212029569892,1,2022-01-01,-0.785640978567704,-0.127295715221881,0.520049868465857,0.531558883201902,-0.311229490605843,-0.384768190373488,"Coral_Gables"
2022,2,25.5241609719058,24178.8804290053,5.56519362186788,14.7161351556568,0.566215261958998,7.42330296127563,6.9542900531511,4.54026955201215,1,2022-02-01,0.268905041346609,0.683499565561146,0.733695853200998,0.740732396380809,0.321244104970011,-0.113863272875306,"Coral_Gables"
2022,3,21.8792667339388,25112.4249882274,5.41456777665658,15.2988462832156,0.542233097880928,7.47349142280525,7.39495795492768,11.0291355533131,1,2022-03-01,0.466605955645825,0.497625949017585,0.882596217518623,0.887392818862185,0.935184696791311,1.13448856259815,"Coral_Gables"
2022,4,23.9104279749478,25702.3117397356,5.61273138482951,15.6661203897008,0.418620737647878,7.45538622129436,7.38574112734864,4.06471468336813,1,2022-04-01,0.462470925088872,0.742161582771221,0.976683158884232,0.979830689148345,0.713709126672954,-0.205352262326017,"Coral_Gables"
2022,5,27.0445084175084,27424.1398653652,6.21521036687984,16.8321272298889,0.35520565466173,7.47091215079098,11.7855536856277,7.09144059239314,1,2022-05-01,2.43639950488808,1.48562594061818,1.25131475805742,1.2732986661794,0.903633225822767,0.376940366809627,"Coral_Gables"
2022,6,54.2859721739131,7323.14701913043,4.36905043478261,4.09926956521739,0.306215652173913,7.22042782608696,5.41074782608696,3.13582956521739,1,2022-06-01,-0.423588576454359,-0.792551637840124,-1.95479375426093,-1.93138749164155,-2.16046736351264,-0.384054587501936,"Coral_Gables"
2022,7,27.5703545857484,15958.9339174906,5.53857483804978,9.28764745993863,0.144181725196045,7.40995567678145,6.1019024889192,2.04885441527446,1,2022-07-01,-0.113509471048184,0.650651752429732,-0.57738567809288,-0.62554372438647,0.157970725156914,-0.593170852697308,"Coral_Gables"
2022,8,23.8465650406504,22699.8557365391,5.73782255333559,13.623230612936,0,7.47798509989841,8.0581442600745,1.55387064002709,1,2022-08-01,0.764137358204657,0.896525183886739,0.497791403469643,0.465663267979669,0.990154518338859,-0.68839764644459,"Coral_Gables"
2022,9,45.3202308499475,17933.2795872683,4.5316859041623,10.7774046869535,0,7.40134312696747,5.89698845750263,2.30621196222455,1,2022-09-01,-0.205441947183769,-0.591858039543929,-0.262477528701707,-0.250592202139058,0.0526159529895008,-0.543659464105884,"Coral_Gables"
2022,10,45.1014873524452,11210.0298178752,3.63897470489039,6.50757504215851,0,7.28079595278246,3.49322091062395,2.16391905564924,1,2022-10-01,-1.28386640211862,-1.69347150371956,-1.33483591820937,-1.32524993564173,-1.4220019413616,-0.571034295249343,"Coral_Gables"
2022,11,43.0178017391304,14581.5252885953,3.75678720445062,8.59566063977747,0,7.33526425591099,5.32209318497914,19.1316794158553,1,2022-11-01,-0.463362527616272,-1.54808984404105,-0.797082364909488,-0.799707344397548,-0.755707314288944,2.69328566224249,"Coral_Gables"
